timestamp,scan_time,trade_date,code,name,price,change_pct,market_status,decision,buy_count,sell_count,rebound_count,trend_count,consolidate_buy_count,position_ratio,atr,rsi_6,macd_dif,macd_dea,macd_bar,ma5,ma10,ma20,volume_ratio,buy_signals_detail,sell_signals_detail,decision_reason,weight_system,shadow_price,shadow_result_5d,shadow_result_10d,result_filled
2026-04-28T11:11:01.035432,11:11:01,2026-04-28,sz002801,微光股份,31.0,-2.4850581944007524,弱势,WATCH,1,0,1,0,1,0.0,0.7223,12.39,-0.2414,-0.324,0.0,31.844,32.150999999999996,31.457,0.0,"[""RSI=12.4<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T11:20:54.270276,11:20:54,2026-04-28,sz002997,瑞鹄模具,29.13,-1.786918408631157,弱势,BUY,3,0,3,0,2,0.3,0.7542,5.38,-0.5128,-0.3736,0.0,30.139999999999997,31.048000000000002,30.871,0.0,"[""RSI=5.4<30拐头↑+局部低点(无量能确认)"", ""触及布林下轨(28.71)"", ""量比=0.57<0.6""]",[],[弱势] RSI=5.4<30拐头↑+局部低点(无量能确认) + 触及布林下轨(28.71) + 量比=0.57<0.6,old,,,,
2026-04-28T11:20:54.270537,11:20:54,2026-04-28,sh603596,伯特利,45.41,-4.157872520050667,弱势,WATCH,0,0,0,1,1,0.0,1.182,44.29,-0.2921,-0.6046,0.0,46.480000000000004,46.247,45.515,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T11:20:54.270664,11:20:54,2026-04-28,sz002801,微光股份,30.99,-2.516514627241273,弱势,WATCH,1,0,1,0,1,0.0,0.7306,12.33,-0.2422,-0.3242,0.0,31.842000000000002,32.15,31.4565,0.0,"[""RSI=12.3<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T11:33:43.421669,11:33:43,2026-04-28,sz002997,瑞鹄模具,29.12,-1.820633850303436,弱势,BUY,3,0,3,0,2,0.3,0.7542,5.36,-0.5136,-0.3737,0.0,30.137999999999998,31.047000000000004,30.8705,0.0,"[""RSI=5.4<30拐头↑+局部低点(无量能确认)"", ""触及布林下轨(28.71)"", ""量比=0.59<0.6""]",[],[弱势] RSI=5.4<30拐头↑+局部低点(无量能确认) + 触及布林下轨(28.71) + 量比=0.59<0.6,old,,,,
2026-04-28T11:33:43.421920,11:33:43,2026-04-28,sh603596,伯特利,45.2,-4.601097509497677,弱势,WATCH,0,0,0,1,1,0.0,1.182,41.84,-0.3088,-0.608,0.0,46.438,46.226,45.5045,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T11:33:43.422082,11:33:43,2026-04-28,sz002801,微光股份,30.94,-2.6737967914438436,弱势,WATCH,1,0,1,0,1,0.0,0.7306,12.07,-0.2462,-0.325,0.0,31.832,32.144999999999996,31.454,0.0,"[""RSI=12.1<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T13:02:20.012398,13:02:20,2026-04-28,sz002997,瑞鹄模具,29.09,-1.9217801753202974,弱势,BUY,2,0,2,0,2,0.3,0.7556,5.3,-0.5159,-0.3742,0.0,30.131999999999998,31.044,30.869,0.0,"[""RSI=5.3<25拐头↑+局部低点+量能确认"", ""触及布林下轨(28.70)""]",[],[弱势] RSI=5.3<25拐头↑+局部低点+量能确认 + 触及布林下轨(28.70),old,,,,
2026-04-28T13:02:20.012655,13:02:20,2026-04-28,sh603596,伯特利,45.02,-4.981004643309412,弱势,WATCH,0,0,0,1,1,0.0,1.2027,39.95,-0.3232,-0.6108,0.0,46.402,46.208,45.4955,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T13:02:20.012784,13:02:20,2026-04-28,sz002801,微光股份,30.88,-2.862535388486946,弱势,WATCH,1,0,1,0,1,0.0,0.7403,11.76,-0.251,-0.3259,0.0,31.82,32.138999999999996,31.451,0.0,"[""RSI=11.8<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T13:10:53.358075,13:10:53,2026-04-28,sz002997,瑞鹄模具,29.01,-2.1915037086985794,弱势,BUY,2,0,2,0,2,0.3,0.7721,5.15,-0.5223,-0.3755,0.0,30.115999999999996,31.036,30.865,0.0,"[""RSI=5.2<25拐头↑+局部低点+量能确认"", ""触及布林下轨(28.68)""]",[],[弱势] RSI=5.2<25拐头↑+局部低点+量能确认 + 触及布林下轨(28.68),old,,,,
2026-04-28T13:10:53.358384,13:10:53,2026-04-28,sh603596,伯特利,44.83,-5.382017728999586,弱势,WATCH,0,0,0,1,1,0.0,1.233,37.86,-0.3407,-0.6143,0.0,46.358,46.186,45.4845,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T13:10:53.358546,13:10:53,2026-04-28,sz002801,微光股份,30.82,-3.0512739855300373,弱势,WATCH,1,0,1,0,1,0.0,0.7499,11.48,-0.2558,-0.3269,0.0,31.808,32.132999999999996,31.448,0.0,"[""RSI=11.5<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T13:20:54.324117,13:20:54,2026-04-28,sz002997,瑞鹄模具,28.98,-2.2926500337154407,弱势,BUY,2,0,2,0,1,0.3,0.7721,5.09,-0.5247,-0.376,0.0,30.110000000000003,31.032999999999998,30.8635,0.0,"[""RSI=5.1<25拐头↑+局部低点+量能确认"", ""触及布林下轨(28.68)""]",[],[弱势] RSI=5.1<25拐头↑+局部低点+量能确认 + 触及布林下轨(28.68),old,,,,
2026-04-28T13:20:54.324401,13:20:54,2026-04-28,sh603596,伯特利,44.6,-5.867454622203463,弱势,WATCH,0,0,0,1,1,0.0,1.2605,36.14,-0.3567,-0.6175,0.0,46.318,46.166000000000004,45.4745,0.0,[],[],信号不足[0/2],old,,,,
